userid,bookcount,trainingcount,age,gender,goal,trainingduration,trainingcalorie,trainingtimes,trainingdays,runningtimes,cyclingtimes,hikingtimes,allduration,allcalorie,alltimes,alldays,traininggoal,difficulty,maxcomboday,kg,bmi,joinedplans,plans,vip_expire,bought_package
593e9477387e282f7e3f8847,5,4,32,F,2,270.87,2146,5,6,-1,-1,0,270.87,2146,6,6,0,0,2,0,20.32,0,5,NULL,0
594a73762881d70bc0294bff,1,1,32,M,1,110,759,3,3,-1,-1,0,110,759,4,3,0,0,1,0,22.99,0,5,NULL,0
59f6dc727511ce076ee16448,8,5,27,F,2,288.13,1400,4,4,-1,-1,0,307.57,1446,6,5,2,3,2,2,18.29,0,7,NULL,0
5a8ba9901cf3d13ad7c2c466,0,0,24,F,4,1666.15,3648,197,147,-1,-1,258,8414.27,17750,456,186,2,1,17,5,17.85,0,7,NULL,0
5a8ed4287511ce12edb4c4e5,3,3,28,F,2,190.57,1669,3,4,-1,-1,0,190.57,1669,4,4,0,0,1,2,18.37,0,1,NULL,0
5aa36d93e666862ed13352f6,0,0,29,F,2,252.55,679,17,7,-1,-1,0,252.55,679,18,7,0,0,3,2,18,0,8,NULL,0
5aa8c52e7511ce3671b2338e,4,2,26,F,1,120.03,1034,1,2,-1,-1,0,120.03,1034,2,2,0,0,1,1,20.55,0,6,NULL,0
5af02e1e1cf3d1675cb5813a,1,1,28,F,1,0,0,-1,0,-1,-1,0,60.65,240,1,1,0,0,1,0,23.11,0,7,NULL,0
5b5552266b76fe08b9e4c04c,1,1,25,F,0,57.02,460,0,1,-1,-1,0,57.02,460,1,1,0,0,1,0,0,0,0,NULL,0
5b83c981fe6e43123ce53ad3,1,0,21,M,1,24.18,92,3,4,-1,-1,0,24.18,92,4,4,1,1,1,0,29.39,0,12,NULL,0
5b9906d37511ce77177c9fe6,1,1,28,F,4,61.22,535,0,1,-1,-1,0,61.22,535,1,1,1,1,1,1,16.85,0,7,NULL,0
5ba50f8932b7982b7b0cee9b,1,1,25,F,0,59.03,409,0,1,-1,-1,0,59.03,409,1,1,0,0,1,0,0,0,0,NULL,0
5bed4c34e7b4cc16e6e8b0f1,1,1,25,X,0,59.05,419,0,1,-1,-1,0,59.05,419,1,1,2,0,1,0,0,0,0,NULL,0
550d9f1ed528ca942be10b1a,1,1,36,M,1,60,530,0,1,-1,-1,0,60,530,1,1,0,0,1,0,25.95,0,3,NULL,0
55c370f8affe2201c3f6c2ae,10,9,33,F,3,4667.5,17818,303,205,-1,-1,49,5601.62,20435,357,221,3,1,12,7,18.73,1,21,NULL,0
568c5dd5f56005e301c9aeb2,1,1,29,F,1,3726.62,17957,255,173,22,-1,50,7011.9,35378,402,279,1,2,28,7,21.77,0,81,NULL,0
569fa109fec02b2705923bfd,26,24,49,F,2,3104.97,16824,154,105,-1,-1,0,3713.47,18270,187,111,2,1,4,6,18.13,0,13,NULL,1
56a73dc1af27640848e6ea5a,1,1,25,F,1,5470.08,41964,401,119,37,-1,6,7398.02,53328,457,141,2,2,11,8,21.3,1,108,NULL,0
56d6d1fcfe7ae91205ccee36,5,8,29,M,1,477.08,4054,7,6,-1,-1,0,477.08,4054,8,6,1,1,1,2,30.19,0,7,NULL,0
56dbb684b1bc13994cfa6b7c,1,1,25,F,2,4471.83,18835,333,145,26,-1,0,6841.4,29796,424,198,2,1,6,7,20.45,1,40,NULL,0
56ead8fe9bc1cf2e051f995a,11,9,28,F,2,1529.68,8313,94,53,27,-1,0,2763.77,15129,136,63,2,1,4,5,19.23,1,14,NULL,0
